Accident_ID,State,Date,Time,Reason,Number_of_Deaths,Number_of_Injuries,Road_Type,Weather_Conditions,Alcohol_Involved,Driver_Fatigue,Road_Conditions,Speed_Limit
1001,Andhra Pradesh,01-05-2021,15:30:00,Speeding,2,3,Rural,Sunny,No,No,Poor,60
1002,Karnataka,02-05-2021,18:45:00,Drunk Driving,1,4,Urban,Rainy,Yes,No,Good,40
1003,Delhi,03-05-2021,10:15:00,Poor Road Conditions,0,2,Urban,Foggy,No,No,Poor,50
1004,Maharashtra,04-05-2021,06:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Good,70
1005,Uttar Pradesh,05-05-2021,21:20:00,Speeding,1,2,Rural,Sunny,No,No,Fair,80
1006,Tamil Nadu,06-05-2021,12:00:00,Drunk Driving,0,1,Urban,Sunny,Yes,No,Good,30
1007,Rajasthan,07-05-2021,14:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1008,West Bengal,08-05-2021,08:00:00,Driver Fatigue,1,3,Urban,Sunny,No,Yes,Fair,50
1009,Gujarat,09-05-2021,17:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1010,Assam,10-05-2021,11:45:00,Poor Road Conditions,1,2,Urban,Foggy,No,No,Poor,40
1011,Bihar,11-05-2021,19:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1012,Punjab,12-05-2021,06:15:00,Drunk Driving,2,4,Urban,Sunny,Yes,No,Good,30
1013,Haryana,13-05-2021,13:20:00,Speeding,1,3,Rural,Sunny,No,No,Fair,80
1014,Odisha,14-05-2021,16:00:00,Driver Fatigue,0,1,Urban,Rainy,No,Yes,Poor,50
1015,Madhya Pradesh,15-05-2021,09:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1016,Jharkhand,16-05-2021,14:15:00,Drunk Driving,1,2,Urban,Foggy,Yes,No,Good,40
1017,Chhattisgarh,17-05-2021,07:45:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1018,Manipur,18-05-2021,19:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1019,Delhi,12-06-2021,08:15:00,Poor road conditions,1,5,Urban,Rainy,No,Yes,Poor,40
1020,Karnataka,02-08-2021,20:10:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Good,80
1021,Maharashtra,05-09-2021,12:45:00,Driver fatigue,1,2,Urban,Sunny,No,Yes,Fair,50
1022,Tamil Nadu,22-07-2021,18:20:00,Speeding,4,1,Rural,Foggy,No,No,Poor,70
1023,Gujarat,31-08-2021,11:50:00,Drunk driving,2,4,Urban,Sunny,Yes,No,Fair,50
1024,Punjab,19-09-2021,09:30:00,Poor road conditions,1,6,Rural,Rainy,No,No,Poor,60
1025,Rajasthan,05-06-2021,16:25:00,Driver fatigue,1,2,Urban,Sunny,No,Yes,Good,60
1026,Haryana,21-08-2021,21:15:00,Speeding,3,3,Rural,Sunny,No,No,Fair,90
1027,Uttar Pradesh,15-09-2021,06:30:00,Drunk driving,2,2,Urban,Foggy,Yes,No,Good,50
1028,West Bengal,29-06-2021,10:40:00,Poor road conditions,1,5,Rural,Sunny,No,No,Good,70
1029,Assam,07-08-2021,14:55:00,Speeding,2,2,Urban,Rainy,No,No,Fair,50
1030,Madhya Pradesh,09-09-2021,17:10:00,Driver fatigue,1,4,Rural,Sunny,No,Yes,Good,80
1031,Odisha,18-07-2021,11:20:00,Poor road conditions,1,3,Urban,Sunny,No,No,Poor,60
1032,Bihar,23-08-2021,08:45:00,Drunk driving,2,3,Rural,Foggy,Yes,No,Poor,70
1033,Jharkhand,25-09-2021,19:30:00,Speeding,3,1,Urban,Sunny,No,No,Good,50
1034,Chhattisgarh,15-06-2021,14:10:00,Driver fatigue,1,2,Rural,Sunny,No,Yes,Fair,60
1035,Uttarakhand,12-08-2021,17:50:00,Poor road conditions,1,4,Urban,Rainy,No,No,Poor,50
1036,Himachal Pradesh,29-09-2021,10:25:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Good,80
1037,Telangana,08-06-2021,13:40:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Fair,70
1038,Goa,18-08-2021,07:30:00,Speeding,2,4,Rural,Sunny,No,No,Good,90
1039,Karnataka,14-03-2022,08:15:00,Drunk driving,1,4,Urban,Rainy,Yes,No,Fair,50
1040,Delhi,15-03-2022,23:45:00,Poor road conditions,0,2,Urban,Foggy,No,No,Poor,40
1041,Gujarat,15-03-2022,18:30:00,Speeding,3,2,Rural,Sunny,Yes,No,Good,70
1042,West Bengal,16-03-2022,13:00:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Fair,60
1043,Maharashtra,16-03-2022,22:00:00,Poor road conditions,0,5,Rural,Sunny,No,No,Poor,50
1044,Kerala,17-03-2022,07:30:00,Drunk driving,2,3,Rural,Foggy,Yes,No,Fair,60
1045,Assam,17-03-2022,14:15:00,Speeding,1,2,Urban,Sunny,No,No,Fair,40
1046,Odisha,18-03-2022,09:45:00,Driver fatigue,1,4,Urban,Rainy,No,Yes,Poor,50
1047,Tamil Nadu,18-03-2022,19:30:00,Drunk driving,3,1,Urban,Foggy,Yes,No,Fair,60
1048,Madhya Pradesh,19-03-2022,11:00:00,Speeding,0,3,Rural,Sunny,No,No,Good,80
1049,Rajasthan,19-03-2022,20:45:00,Poor road conditions,2,2,Urban,Foggy,No,No,Poor,40
1050,Chhattisgarh,20-03-2022,07:30:00,Driver fatigue,0,2,Rural,Sunny,No,Yes,Fair,60
1051,Karnataka,15-07-2021,10:45:00,Driver Fatigue,1,4,Urban,Rainy,No,Yes,Fair,50
1052,Maharashtra,16-07-2021,18:15:00,Poor Road Conditions,3,2,Rural,Foggy,No,No,Poor,80
1053,Uttar Pradesh,17-07-2021,21:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1054,West Bengal,17-07-2021,09:00:00,Speeding,1,3,Rural,Sunny,No,No,Good,80
1055,Tamil Nadu,18-07-2021,16:00:00,Poor Road Conditions,4,1,Urban,Sunny,No,No,Fair,50
1056,Maharashtra,18-07-2021,21:15:00,Driver Fatigue,1,5,Urban,Sunny,No,Yes,Good,60
1057,Punjab,19-07-2021,07:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,50
1058,Andhra Pradesh,20-07-2021,14:00:00,Speeding,3,4,Rural,Sunny,No,No,Good,80
1059,Kerala,20-07-2021,22:45:00,Driver Fatigue,2,3,Urban,Rainy,No,Yes,Poor,60
1060,Uttar Pradesh,21-07-2021,08:15:00,Poor Road Conditions,1,6,Rural,Foggy,No,No,Poor,50
1061,West Bengal,22-07-2021,13:30:00,Speeding,2,2,Urban,Sunny,No,No,Good,60
1062,Maharashtra,23-07-2021,09:00:00,Poor Road Conditions,1,5,Rural,Sunny,No,No,Poor,80
1063,Punjab,23-07-2021,19:30:00,Drunk Driving,3,3,Urban,Rainy,Yes,No,Fair,50
1064,Tamil Nadu,24-07-2021,11:45:00,Driver Fatigue,2,2,Urban,Sunny,No,Yes,Fair,60
1065,Andhra Pradesh,25-07-2021,08:00:00,Poor Road Conditions,4,1,Rural,Foggy,No,No,Good,80
1066,Kerala,25-07-2021,14:15:00,Speeding,1,4,Urban,Sunny,No,No,Fair,50
1067,Maharashtra,26-07-2021,21:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1068,Uttar Pradesh,27-07-2021,15:00:00,Driver Fatigue,1,5,Rural,Sunny,No,Yes,Good,80
1069,West Bengal,28-07-2021,17:45:00,Poor Road Conditions,3,3,Urban,Rainy,No,No,Poor,50
1070,Tamil Nadu,29-07-2021,09:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1071,Maharashtra,15-05-2021,02:45:00,Poor road conditions,1,4,Urban,Foggy,No,Yes,Poor,50
1072,West Bengal,16-05-2021,08:20:00,Drunk driving,3,2,Rural,Rainy,Yes,No,Good,80
1073,Andhra Pradesh,17-05-2021,19:10:00,Speeding,1,2,Urban,Sunny,No,Yes,Fair,60
1074,Karnataka,18-05-2021,12:15:00,Driver fatigue,2,5,Rural,Sunny,No,Yes,Poor,70
1075,Assam,19-05-2021,14:30:00,Poor road conditions,1,1,Urban,Rainy,No,No,Poor,40
1076,Tamil Nadu,20-05-2021,17:00:00,Speeding,1,3,Rural,Sunny,No,No,Good,90
1077,Uttar Pradesh,21-05-2021,09:45:00,Driver fatigue,2,2,Urban,Sunny,No,Yes,Poor,50
1078,Kerala,22-05-2021,21:30:00,Drunk driving,4,1,Rural,Foggy,Yes,No,Poor,60
1079,Maharashtra,23-05-2021,06:55:00,Poor road conditions,1,4,Urban,Rainy,No,No,Fair,40
1080,West Bengal,24-05-2021,15:10:00,Speeding,2,3,Rural,Sunny,No,No,Good,70
1081,Andhra Pradesh,25-05-2021,11:40:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Poor,50
1082,Karnataka,26-05-2021,16:15:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Poor,80
1083,Assam,27-05-2021,03:20:00,Poor road conditions,1,2,Urban,Foggy,No,Yes,Poor,60
1084,Tamil Nadu,28-05-2021,13:30:00,Speeding,1,1,Rural,Sunny,No,No,Good,90
1085,Uttar Pradesh,29-05-2021,19:45:00,Driver fatigue,2,3,Urban,Sunny,No,Yes,Poor,50
1086,Kerala,30-05-2021,07:20:00,Drunk driving,4,2,Rural,Rainy,Yes,No,Poor,60
1087,Maharashtra,31-05-2021,16:10:00,Poor road conditions,1,1,Urban,Sunny,No,No,Good,40
1088,West Bengal,01-06-2021,11:30:00,Speeding,2,2,Rural,Sunny,No,No,Good,70
1089,Andhra Pradesh,02-06-2021,03:55:00,Driver fatigue,1,3,Urban,Sunny,No,Yes,Poor,50
1090,Karnataka,03-06-2021,18:20:00,Drunk driving,3,1,Rural,Sunny,Yes,No,Poor,80
1091,Tamil Nadu,20-06-2021,22:15:00,Drunk Driving,3,2,Urban,Rainy,Yes,No,Good,50
1092,Karnataka,21-06-2021,07:30:00,Driver Fatigue,1,4,Rural,Sunny,No,Yes,Poor,70
1093,Maharashtra,21-06-2021,18:45:00,Poor Road Conditions,0,6,Urban,Foggy,No,No,Poor,40
1094,Gujarat,22-06-2021,10:20:00,Speeding,2,3,Rural,Sunny,No,No,Fair,60
1095,Punjab,23-06-2021,14:05:00,Drunk Driving,4,1,Urban,Rainy,Yes,No,Poor,50
